Reference_ID,open_now,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0bfe86aa4ad791e3f18a60a4ac4f930c9dbfe900,1,"Monday: 12:00 PM – 12:00 AM","Tuesday: 12:00 PM – 12:00 AM","Wednesday: 12:00 PM – 12:00 AM","Thursday: 12:00 PM – 12:00 AM","Friday: 12:00 PM – 12:00 AM","Saturday: 12:00 PM – 12:00 AM","Sunday: 12:00 PM – 12:00 AM"
40002a04b613fc7134dcbf49501da3ef367aca3e,1,"Monday: 9:00 AM – 11:30 PM","Tuesday: 9:00 AM – 11:30 PM","Wednesday: 9:00 AM – 11:30 PM","Thursday: 9:00 AM – 11:30 PM","Friday: 9:00 AM – 11:30 PM","Saturday: 9:00 AM – 11:30 PM","Sunday: 9:00 AM – 11:30 PM"
2c6d3b7cd378e5552dae5fca5e9af2c1f9661a8d,1,"Monday: 10:00 AM – 10:00 PM","Tuesday: 10:00 AM – 10:00 PM","Wednesday: 10:00 AM – 10:00 PM","Thursday: 10:00 AM – 10:00 PM","Friday: 10:00 AM – 10:00 PM","Saturday: 10:00 AM – 10:00 PM","Sunday: 10:00 AM – 10:00 PM"
80b39211e30d322b8abbf9078c55bf2f6d2b8e74,1,"Monday: 11:30 AM – 10:00 PM","Tuesday: 11:30 AM – 10:00 PM","Wednesday: 11:30 AM – 10:00 PM","Thursday: 11:30 AM – 11:00 PM","Friday: 11:30 AM – 11:00 PM","Saturday: 11:30 AM – 11:00 PM","Sunday: 11:30 AM – 10:00 PM"
4948faa559d51dabd2cb1d2701d4399185cd21df,1,"Monday: 11:30 AM – 2:00 AM","Tuesday: 11:30 AM – 2:00 AM","Wednesday: 11:30 AM – 2:00 AM","Thursday: 11:30 AM – 12:00 AM","Friday: Open 24 hours","Saturday: Open 24 hours","Sunday: 7:30 AM – 1:00 AM"
8ce21c22ad44f7499974aebc4fa5086610bae735,1,"Monday: 10:00 AM – 12:30 AM","Tuesday: 10:00 AM – 12:30 AM","Wednesday: 10:00 AM – 12:30 AM","Thursday: 10:00 AM – 3:00 AM","Friday: 10:00 AM – 4:00 AM","Saturday: 11:00 AM – 4:00 AM","Sunday: 11:00 AM – 12:00 AM"
e0eee5c7c52025be7b7da0229a80c63c09c28ea2,1,"Monday: 12:00 – 11:00 PM","Tuesday: 12:00 – 11:00 PM","Wednesday: 12:00 – 11:00 PM","Thursday: 12:00 – 11:00 PM","Friday: 12:00 – 11:00 PM","Saturday: 12:00 – 11:00 PM","Sunday: 12:00 – 11:00 PM"
dc4cee882569b24b5e3438bf4abfc25ccee9982b,1,"Monday: 12:00 – 1:00 AM, 11:30 AM – 1:00 AM","Tuesday: 11:30 AM – 2:00 AM","Wednesday: 11:30 AM – 4:00 AM","Thursday: 11:30 AM – 12:00 AM","Friday: Open 24 hours","Saturday: Open 24 hours","Sunday: Open 24 hours"
c7eae7af8322d726e68eef9640f1ac49522ece38,1,"Monday: 11:00 AM – 4:00 PM, 6:00 – 10:00 PM","Tuesday: 11:00 AM – 4:00 PM, 6:00 – 10:00 PM","Wednesday: 11:00 AM – 4:00 PM, 6:00 – 10:00 PM","Thursday: 11:00 AM – 4:00 PM, 6:00 – 10:00 PM","Friday: 11:00 AM – 4:00 PM, 6:00 – 10:00 PM","Saturday: 10:00 AM – 4:00 PM, 6:00 – 10:00 PM","Sunday: 10:00 AM – 4:00 PM, 6:00 – 10:00 PM"
8c8e558bd77e256f457e5879274195a2cbe1dcc5,,"Monday: 9:00 AM – 6:30 PM","Tuesday: 9:00 AM – 6:30 PM","Wednesday: 9:00 AM – 6:30 PM","Thursday: 9:00 AM – 9:00 PM","Friday: 9:00 AM – 7:00 PM","Saturday: 9:00 AM – 7:00 PM","Sunday: 11:00 AM – 6:30 PM"
