id,reference_id,name,address,slug,food_type,food_type1,food_type2,food_type3,food_type4,food_type5,food_type6,food_type7,food_type8
,b175a0594799c03d45d20b8d0dd28ee6f1fa535e,"Burger King","22 Fonthill Rd, Clondalkin, Dublin, Ireland",burger-king,Burger
,a0c0aa6d50bdfc15fe342af6dc03d414dd6be2e9,"Gourmet Burger Kitchen","Unit 40B, Fonthill Rd, Clondalkin, Co. Dublin, Ireland",gourmet-burger-kitchen,Burger
,715c0e770f3632e73cd6de08e85e18d4b423be6f,"Burger King","Malahide Rd, Coolock, Co. Dublin, Ireland",burger-king,Burger
,dec4fea47407f28c49068a057a86ecfc2bfc3bab,"Eddie Rocket's City Diner","52 O'Connell Street Lower, Dublin 2, Ireland",eddie-rockets-city-diner,Burger
,e5989dfd036ebcba4ffcc68fa46cb87b9a225388,Bunsen,"3 Anne St S, Dublin 2, Ireland",bunsen,Burger
,4447d4c77d432c9f89fec1aef32a2144a22c80ff,"Rocket's (by Eddie Rockets)","33 Baggot Street Upper, Dublin 4, Ireland",rockets-by-eddie-rockets,Burger
,88b855b255891586a542870dc0feda94843399ae,"Burger King","5 Grafton Street, Dublin 2, Ireland",burger-king,Burger
,8f44c88f1ec1decc429343cba86befb767b5dcdd,"Burger King","Nutgrove Way, Dublin 14, Ireland",burger-king,Burger
,4b814f02cfada420ea18ec2addab7dffab28fc58,"Eddie Rocket's City Diner","Rathmines Road Lower Rathmines Rd Lower, Dublin, D06 H1X7, Ireland",eddie-rockets-city-diner,Burger
,2b000b346d302ffb903f323fbc402fa674dc89e8,"Burger King","39 Grafton Street, Dublin 2, Ireland",burger-king,Burger
,bc6f199ea2160596751ff95c8cd16c1b37617d21,"Burger King Dun Laoghaire","15 George's Street Upper, Dún Laoghaire, Co. Dublin, A96 WN47, Ireland",burger-king-dun-laoghaire,Burger
,7e019151a7fe875f94d983c9f8ed6116f089b911,"Burger King","Belgard Rd, Tallaght, Dublin, 24, Ireland",burger-king,Burger
,fb2d0049d2bd51e16896124db70981312691d579,"Burger King Swords","61 North St, Swords, Co. Dublin, Ireland",burger-king-swords,Burger
,15444f7206d5d481123bcec890a1eb87231336ba,"Eddie Rocket's City Diner","7 Anne St S, Dublin 2, Ireland",eddie-rockets-city-diner,Burger
,2d611d1baf03d111cf4dda7d4ae52b1f829b4504,Romayos,"2 Main St, Blancharstown, Dublin 15, Ireland",romayos,Burger
,ce28702d62069bb6fc776962519403f06a9e7a59,Romayos,"24 Main St, Belmayne, Dublin 13, Ireland",romayos,Burger
,79a41a648fba97075b51c00c56e8797c72c769f0,"Macari's Take Away Glasnevin","Glasnevin, Co. Dublin, Ireland",macaris-take-away-glasnevin,Burger
,3469661c9aa8895a66e73be01ec7ab56dcaa067e,"Box Burger","7 Strand Rd, Bray, Co. Wicklow, Ireland",box-burger,Burger
,73b95138982e9b5bd26f9d897fb3d432b1514574,Dillinger's,"47 Ranelagh, Dublin 6, D06 HR84, Ireland",dillingers,Burger
,7c2e5141b167849e084f604c8203ae48b1b1c593,"Five Guys","Dundrum Town Centre Sandyford Rd., Sandyford Rd, Dublin 16, Ireland",five-guys,Burger
,de6f0f30f49ed1780eaeccc9cd78456af6d1e491,"Eddie Rocket's City Diner","The Mall, Donnybrook Rd, Dublin, Ireland",eddie-rockets-city-diner,Burger
,1b8d6a49507e9e1284fed018496d93f45f97a922,"BlockBurger HQ","Block E, East Point Business Park, Clontarf, Dublin, Ireland",blockburger-hq,Burger
,d2359ca3d3f47d4c0f8c4cb884f9cb86cca06d3d,WowBurger,"Wellington Quay Wellington Quay, Temple Bar, Dublin 2, D02 VX36, Ireland",wowburger,Burger
,49cd893f8efe7e3e32054e5a9f0cc64eb16ca103,"On The Pig's Back Eatery","64 Capel St, Dublin 1, Dublin, Ireland",on-the-pigs-back-eatery,Burger
,9bfa2a217206d54db71235763e6c9d0bb6012cb4,Supermac’s,"Tallaght Rd, Spawell, Dublin 6, Ireland",supermacs,Burger
,e4ea4ca33120d94091322eecd0a79700fa693493,Supermac's,"Heuston Station, Dublin 8, Ireland",supermacs,Burger
,18cc06440904ce884726e2776e24bf6beac30e69,Supermac's,"45/46 O'Connell St, Dublin, Co. IE, Ireland",supermacs,Burger
,36382d2b1f02adcfc9d0c9949e55bea3732c65f9,Bunsen,"97 Ranelagh, Dublin 6, D06 A0K7, Ireland",bunsen,Burger
,97c42152fa4b8ec7d041fc47ac868cdfd180c9e3,"Gourmet Burger Kitchen","Terminal 2, Arrivals, Dublin Airport, Co. Dublin, Ireland",gourmet-burger-kitchen,Burger
,617a4c58aa42facac51f3840b9fbc4fce3f62484,"Hard Rock Cafe","12 Fleet St, Temple Bar, Dublin 2, Ireland",hard-rock-cafe,Burger
,d3a8434cfac173f7ab1cdd1ec107f8b79575edd1,"TGI Friday's Dundrum","TGI Friday's Dundrum, Dundrum Shopping Centre, Drummartin, Dublin 14, Ireland",tgi-fridays-dundrum,Burger
,29c2e7534c691924f9a44218ce1047054ea69f76,"Burger king","Earl St N, North City, Dublin, Ireland",burger-king,Burger
,c3281d2a6b54cd03af9eec78c15e5af9f459cb33,"Gourmet Burger Kitchen, Liffey Valley","Liffey Valley Sc, Dublin, Co. IE, Ireland",gourmet-burger-kitchen-liffey-valley,Burger
,061e49326f60568cf3ce05c2d6b0a05bbd4067e7,"Scotch Bonnet Urban Cafe","4 Church Rd, Malahide, Co. Dublin, Ireland",scotch-bonnet-urban-cafe,Burger
,8b224127bcc884c5edb43f9504be4e45c8cdfd07,"Bad Ass Cafe","9-11 Crown Alley, Dublin 2, Ireland",bad-ass-cafe,Burger
,9080112078edb8507bf0167000f890caeb90dfc2,"TGI Friday's","15 The Mall, Blanchardstown, Dublin 15, D15 E0V1, Ireland",tgi-fridays,Burger
,9ad5ee93b64f116d2f5361307a0b1780bf5f8087,Abrakebabra,"Deanstown House Main St Blanchardstown, Clonsilla, Co. IE, Ireland",abrakebabra,Burger
,5dd2a419793d17818660340054ed70e71c5a69aa,"Elephant & Castle","18-19 Temple Bar, Dublin 2, Ireland",elephant-castle,Burger
,b104c3d9a3c49e8ca7d29809de4f533a11a6bc40,WOWBURGER,"8 Wicklow St, Dublin 2, D02 AX90, Ireland",wowburger,Burger
,18e1c51fc43335c8ca7153da8b96dc3a9a74320e,McDonalds,"Kylemore Rd, Inchicore, Dublin, Ireland",mcdonalds,Burger
,678c7c09621a118e64b95ff223af327a3a506b83,BEAR,"34-35 South William Street, Dublin 2, D02 T205, Ireland",bear,Burger
,fac035912fba96f360b29c9441071a11529773a2,"Macari's Takeaway Malahide","Townyard Ln, Malahide, Co. Dublin, Ireland",macaris-takeaway-malahide,Burger
,312f6ce4e0b569da98e4d4e7bfa7783189f1f705,"McGoverns Restaurant","Main St, Malahide, Co. Dublin, Ireland",mcgoverns-restaurant,Burger
,4a69ff2dd34711c69567e307c9d0fec179cdb49e,"TriBeCa Restaurant & Wine Bar","65 Ranelagh, Dublin 6, D06 VX38, Ireland",tribeca-restaurant-wine-bar,Burger
,70f6341fbf1bc71d6ccf6623f454c213d232fe84,"The Old Storehouse Bar and Restaurant","3 Crown Alley, Temple Bar, Dublin 2, D02 CX67, Ireland",the-old-storehouse-bar-and-restaurant,Burger
,cad72322c867858894c3c2f55261325687688b2f,"Eddie Rockets City Diner","Citywest Shopping Centre, Citywest Dr, Gibbons, Dublin, Ireland",eddie-rockets-city-diner,Burger
,08fb40ac8472b9c3ccc99d2c881df7b7f027db6f,"Eddie Rocket's City Diner","The Parnell Centre, 198-200 Parnell St, Dublin 1, Ireland",eddie-rockets-city-diner,Burger
,b6940c25d58fa073132569c9f5ac94f5536b6106,"The Sussex Restaurant","8/9 Sussex Terrace,, Upper Leeson Street,, Dublin 4., Co. Dublin, Ireland",the-sussex-restaurant,Burger
,a620a0e5603ab5893d014769fd594eb7afb1c8a0,"Bellucci's Italian Restaurant & Cocktail Bar","22-30 Merrion Rd, Dublin 4, Ireland",belluccis-italian-restaurant-cocktail-bar,Burger
,3e6102041908e2d53425c13dcd860509791c570c,"Restaurant 104","104 Drumcondra Rd Upper, Dublin 9, Ireland",restaurant-104,Burger
,48ca10b65cbcc5d3920a31edc8f378f898ad9670,Featherblade,"51 Dawson St, Dublin 2, Ireland",featherblade,Burger
