id,google_rating_whole,rating
d87ae965a1f909d8d32703725c35a2eb998b2f1c,4.1,4
ef1f0577c1a2f9f39abf16d24816defdd7f7543a,3.9,4
b6c1c78243fd2acd03aa5d4d98f493a61f73b8e0,4.1,4
44cbfd25e85fe12aaea8c8e578e838edd3633369,3.7,4
9c0993ef2c1abe6613ff3c5182d2b96617ca913e,4.3,4
733d27c4d69a3b343174dd809efa5ffd0099e8ce,3.8,4
604c97eaca8794592083981b400c15824bf97f9b,3.6,4
459374a0ad6d57ba83c5c91db79cab81ccb8778e,3.7,4
d563b9f794544fa61399a1702d24d3ac962bdcc8,4.2,4
f9ebe4dbffbf1667e594b8b78d6330ae7b1c8813,4,4
2b328779a3231256237af13e65a4da39ec7aaf38,4.6,5
00716f9351b9ec9731f99a4e8dd9f1af92f5c4f6,4,4
2c37099cfa7ab09d2f501e753a488b3a995742eb,4.7,5
a8fcd9bdd8b2d079c296eae58b62ceb0d0abcf85,4.7,5
b03b3cb69d28585bf1ddb7fc07d883a5ec86c89c,3.8,4
de2663184a9631f37f11d7d3723a3979b056d5c3,5,5
2802ca24099b12481788490944aee20ef603bef2,4,4
9bb88ca4510407367bc7f2592775ac5aa69f933d,4.9,5
0bfe86aa4ad791e3f18a60a4ac4f930c9dbfe900,4.4,4
40002a04b613fc7134dcbf49501da3ef367aca3e,3.9,4
2c6d3b7cd378e5552dae5fca5e9af2c1f9661a8d,4.1,4
80b39211e30d322b8abbf9078c55bf2f6d2b8e74,4,4
4948faa559d51dabd2cb1d2701d4399185cd21df,3.6,4
8ce21c22ad44f7499974aebc4fa5086610bae735,3.7,4
e0eee5c7c52025be7b7da0229a80c63c09c28ea2,3.9,4
dc4cee882569b24b5e3438bf4abfc25ccee9982b,3.5,4
c7eae7af8322d726e68eef9640f1ac49522ece38,4.3,4
8c8e558bd77e256f457e5879274195a2cbe1dcc5,3.6,4
449709ce21d9bd394fb7f22ea454525cb73ef575,3.7,4
372df5e9042a11282ed757ca7f774d69c1fce8e3,3.7,4
1311aa4d64e50b3098fc099dadef0d5cc07a428d,2.4,2
e153b1cda4f4b9087af33ee7f73b240b9fd134ac,4,4
bae36c826149905c8cd17b8a03342adb11d941a6,4,4
faba922dc750be4f54873eb269019624e31e3d61,1,1
b175a0594799c03d45d20b8d0dd28ee6f1fa535e,4,4
a0c0aa6d50bdfc15fe342af6dc03d414dd6be2e9,3.4,3
715c0e770f3632e73cd6de08e85e18d4b423be6f,4,4
dec4fea47407f28c49068a057a86ecfc2bfc3bab,3.9,4
e5989dfd036ebcba4ffcc68fa46cb87b9a225388,4.7,5
4447d4c77d432c9f89fec1aef32a2144a22c80ff,3.5,4
88b855b255891586a542870dc0feda94843399ae,3.5,4
8f44c88f1ec1decc429343cba86befb767b5dcdd,2.4,2
4b814f02cfada420ea18ec2addab7dffab28fc58,3.6,4
2b000b346d302ffb903f323fbc402fa674dc89e8,3.6,4
bc6f199ea2160596751ff95c8cd16c1b37617d21,4.1,4
7e019151a7fe875f94d983c9f8ed6116f089b911,3.8,4
fb2d0049d2bd51e16896124db70981312691d579,3.6,4
15444f7206d5d481123bcec890a1eb87231336ba,3.7,4
2d611d1baf03d111cf4dda7d4ae52b1f829b4504,3,3
ce28702d62069bb6fc776962519403f06a9e7a59,4.2,4
79a41a648fba97075b51c00c56e8797c72c769f0,4.2,4
3469661c9aa8895a66e73be01ec7ab56dcaa067e,4.5,5
73b95138982e9b5bd26f9d897fb3d432b1514574,4.3,4
7c2e5141b167849e084f604c8203ae48b1b1c593,3.9,4
de6f0f30f49ed1780eaeccc9cd78456af6d1e491,4.1,4
1b8d6a49507e9e1284fed018496d93f45f97a922,4.1,4
d2359ca3d3f47d4c0f8c4cb884f9cb86cca06d3d,,0
49cd893f8efe7e3e32054e5a9f0cc64eb16ca103,4.4,4
9bfa2a217206d54db71235763e6c9d0bb6012cb4,3.4,3
e4ea4ca33120d94091322eecd0a79700fa693493,3.5,4
18cc06440904ce884726e2776e24bf6beac30e69,3.9,4
36382d2b1f02adcfc9d0c9949e55bea3732c65f9,5,5
97c42152fa4b8ec7d041fc47ac868cdfd180c9e3,1.5,2
617a4c58aa42facac51f3840b9fbc4fce3f62484,4.1,4
d3a8434cfac173f7ab1cdd1ec107f8b79575edd1,3.5,4
29c2e7534c691924f9a44218ce1047054ea69f76,,0
c3281d2a6b54cd03af9eec78c15e5af9f459cb33,2,2
061e49326f60568cf3ce05c2d6b0a05bbd4067e7,4.3,4
8b224127bcc884c5edb43f9504be4e45c8cdfd07,4,4
9080112078edb8507bf0167000f890caeb90dfc2,3.8,4
9ad5ee93b64f116d2f5361307a0b1780bf5f8087,3.7,4
5dd2a419793d17818660340054ed70e71c5a69aa,4.2,4
b104c3d9a3c49e8ca7d29809de4f533a11a6bc40,4.6,5
18e1c51fc43335c8ca7153da8b96dc3a9a74320e,3.8,4
678c7c09621a118e64b95ff223af327a3a506b83,4.1,4
fac035912fba96f360b29c9441071a11529773a2,4,4
312f6ce4e0b569da98e4d4e7bfa7783189f1f705,4.3,4
4a69ff2dd34711c69567e307c9d0fec179cdb49e,4.3,4
70f6341fbf1bc71d6ccf6623f454c213d232fe84,4.5,5
cad72322c867858894c3c2f55261325687688b2f,4.1,4
08fb40ac8472b9c3ccc99d2c881df7b7f027db6f,3.7,4
b6940c25d58fa073132569c9f5ac94f5536b6106,4.5,5
a620a0e5603ab5893d014769fd594eb7afb1c8a0,3.9,4
3e6102041908e2d53425c13dcd860509791c570c,4.1,4
48ca10b65cbcc5d3920a31edc8f378f898ad9670,4.5,5
35649f7a425f9839b0214371331a0724b852e7b5,3.9,4
2c299ff5c26fe87ed643b25ac02bc8e9ebd47c89,4.2,4
45b143b5b7aa68de914ac4ae816d55b4b888e999,3.3,3
8f3b0d56a6a3363c0e72b9584de3005aae154501,4.3,4
b4f1e7796f53f39a6cfa0cc0d4ef0f7fb2ddaf24,4.4,4
6f79636fb8508e7efd4024aa152995da13f4e03c,4.1,4
ca304b540b23c329154c5e3e92c8ec86576c20be,4.6,5
0104502ae0e5fba0990a315be8ebbeea4f081f16,3.9,4
416b253e977f1d779754ad85cf3095d68c1ff902,3.4,3
7b85dddb7c39481b5c9bde49b37a2d116bf4d873,3.8,4
84e541d6becfcbdf017c9ece69d6caa5e189031c,4.4,4
ffe7fe9af05918233d47c3fdc3893c7d46e91ced,3.7,4
04bc65ca0da5d69afc9cb049958672c0af8419b0,3.2,3
bc21e85f447958c7b7aec495b671b44293535c81,4.6,5
9680aec61aa68a34423143c1665857c93534234a,4,4
b77322ad919211a9d3aab2f68006052df4e93a31,4.3,4
c9bf1324eac0fb8a85d754588df872750786e095,4.2,4
48371a0da31cb125d17a9c10db800a169a99cc52,3.9,4
ba35e12c6874600efd6bf7cfcf827cd159b2ad97,4.4,4
d6292e1097d6fa6a5c31bd513afa1ab18084eb29,3.9,4
6a89ed0d375ea710cd52dc20c22e0a36a89a323a,4.1,4
f945c00a3fc52ea508abe859e876be3950fc9a4c,4.2,4
